C:7-H:6-N:3-O:4-X:1	H:N	8854:8168	1750:1789
C:5-H:5-Br:1-O:2-X:2	C:O	2682:7988	1865:1728
C:8-H:7-N:2-O:4-X:1	N:H	8426:9624	1768:1990
C:7-H:5-Ag:1-O:1-X:1	O:S	2691:11304	1749:1961
Mo:1-O:2-X:2	O:Cl:Br	6448:6513:7782	1942:1924:1747
H:32-O:40-W:7-X:3	Cd:Sr	2379:5840	1862:1981
Cl:2-H:12-O:14-X:1	Fe:Ni	1648:10840	1892:1903
O:3-Se:1-Tl:1-X:1	H:Tl	9142:9041	1896:1889
C:3-H:3-Br:1-O:1-X:2	H:O	6493:11110	1939:1843
C:2-H:4-O:4-X:2	N:C	3846:2184	1749:1977
C:12-H:8-N:2-X:2	H:Br	4076:9719	1923:1731
C:12-H:8-N:2-X:4	H:O:N	4073:8413:10588	1765:1811:1868
C:6-H:5-N:1-O:1-X:1	C:O	2022:2180	1717:1794
K:1-O:2-X:1	Au:Sb:Br:Cl:In:K:N:Al:As	5145:1313:3037:2985:10407:2988:129:1297:6847	1784:1828:1874:1816:1759:1946:1858:1902:1809
C:6-H:5-N:1-O:1-X:2	C:H:O	1846:3126:6502	1894:1921:1735
C:4-H:4-O:5-Pb:2-X:2	H:O	3944:2412	1857:1724
C:6-H:5-N:1-O:1-X:4	H:O	7271:8051	1993:1955
C:3-H:6-N:1-O:1-X:1	Cl:Br:H	7270:10024:4627	1949:1864:1837
As:1-Na:3-S:1-X:3	O:S	1027:1019	1839:1858
C:3-H:8-N:2-X:1	O:S	4629:11036	1861:1890
C:1-H:1-I:1-X:2	H:I:Cl	2588:874:6385	1902:1951:1719
C:7-H:8-O:5-X:2	C:H	10689:7357	1839:1982
C:6-H:15-N:1-X:3	O:C	8359:6698	1955:1908
C:6-H:12-Ba:2-N:6-O:6-X:1	Os:Fe	7909:60	1901:1911
C:6-O:2-X:4	H:Br:Cl	2703:5932:3135	1944:1766:1921
Br:1-Cl:1-H:13-N:4-O:1-Pt:1-X:1	Br:Cl	9953:9965	1883:1726
O:3-S:1-Sr:1-X:1	O:S	429:431	1788:1782
Br:1-H:12-N:4-Pt:1-X:3	Cl:Br	9957:9930	1990:1813
C:2-O:2-Pb:1-X:2	O:N	536:877	1897:1770
As:1-K:1-X:2	K:O:S	282:6847:1058	1989:1809:1920
C:18-H:21-N:1-X:3	C:O	6431:5346	1817:1862
P:2-S:3-X:2	S:P	1628:8967	1790:1796
Cl:2-Ni:1-O:2-X:4	H:O	9024:3576	1753:1995
Au:1-I:4-X:1	H:Na:K	3032:2377:2387	1942:1878:1760
N:1-O:4-P:2-X:1	Ag:K	9826:9819	1805:1951
C:2-Ag:1-N:2-X:1	Na:K	6868:3737	1765:1962
H:4-I:1-X:1	N:P	580:582	1864:1787
C:16-H:10-X:6	H:O	9610:9635	1878:1708
C:8-H:21-O:1-X:1	Sb:As:N:P	6761:5974:5332:6759	1959:1849:1771:1859
K:3-Sb:1-X:3	O:S	384:5602	1719:1909
Hg:4-O:7-X:2	P:Br	4582:3346	1747:1799
C:1-H:3-O:3-S:1-X:1	Cl:H	4023:3913	1748:1911
Cu:1-H:4-O:6-X:1	S:W	2226:2374	1958:1852
H:6-O:9-X:4	Cr:B	10848:660	1910:1766
C:2-H:2-Cl:4-N:2-X:1	Sn:Ti	4965:4962	1939:1962
H:6-O:3-S:1-X:2	N:C	2715:2917	1990:1748
C:6-H:5-S:1-X:1	H:Cl	8152:10783	1762:1956
C:1-H:1-Cl:2-O:3-S:1-X:1	K:Cl:H	11283:4026:4024	1999:1905:1992
C:6-H:4-O:7-X:1	H:C	3089:1924	1781:1862
As:1-K:1-O:3-X:2	H:K	8272:1646	1729:1891
C:5-H:11-Hg:1-X:1	I:Cl	8867:8892	1925:1765
C:6-H:3-Br:2-O:3-X:1	N:Br	5961:6213	1886:1905
C:6-Co:1-N:6-X:3	K:H:Hg:Ag	2041:4263:2127:4284	1756:1729:1892:1958
C:8-H:11-N:1-O:1-X:1	C:O	2565:11303	1740:1738
H:2-K:1-O:4-X:1	As:P	809:774	1942:1796
C:6-Co:1-N:6-X:4	Na:K	10890:10847	1709:1725
C:9-H:8-N:1-O:4-X:1	H:Br:Cl	2156:10697:10113	1792:1926:1917
C:18-H:16-O:4-X:2	H:N	6227:5531	1744:1852
C:18-H:16-O:4-X:3	C:O	6736:6229	1920:1883
C:1-H:2-Cl:1-X:1	H:Cl:N	2252:7261:9414	1998:1826:1738
Cl:5-H:2-K:2-O:1-X:1	Rh:Fe	1456:2770	1823:1979
C:6-H:9-N:1-O:4-X:2	O:H:C	8367:5691:2439	1824:1742:1800
C:10-H:13-N:1-O:4-X:6	H:C	11118:9622	1786:1866
C:19-H:20-O:1-X:2	H:N	4679:8535	1774:1764
H:2-Mo:1-O:3-X:1	H:O	1117:4909	1729:1709
C:2-N:2-O:4-X:4	Hg:H	4192:3846	1950:1749
C:7-H:10-O:4-X:1	C:O	6381:7357	1852:1982
C:7-H:10-O:4-X:2	C:H	4040:6979	1707:1788
C:7-H:10-O:4-X:3	C:O	4746:5262	1730:1891
H:4-N:2-O:4-X:2	P:C	9869:3846	1829:1749
Bi:1-S:3-X:1	Bi:As	1869:1196	1888:1977
C:7-H:5-N:3-O:3-X:2	H:O	4665:6418	1950:1831
As:1-Mg:1-O:4-X:1	K:Na	4822:4817	1903:1971
O:13-X:6	I:Cl	7962:3610	1911:1916
C:1-H:4-O:3-X:1	S:C	3913:4466	1911:1983
C:1-Na:1-O:3-X:1	H:Na:K	997:38:7736	1950:1874:1911
C:14-H:8-N:2-O:4-X:2	Ag:Br:H	9039:10677:9232	1978:1954:1823
C:8-H:21-N:1-X:1	C:O	5274:5332	1840:1771
C:15-H:8-O:4-X:2	H:O	6835:9258	1866:1787
C:14-H:8-N:2-O:4-X:4	O:H	8839:4888	1866:1919
Bi:1-H:6-N:1-O:1-X:4	I:Br	7411:7470	1811:1759
Fe:1-H:14-O:11-X:1	S:Se	329:7921	1867:1981
C:6-H:7-N:1-S:2-X:6	O:H	6434:4254	1946:1945
Fe:2-O:1-X:2	O:Fe	159:2731	1903:1855
C:2-H:8-N:1-X:1	N:Cl	7075:5536	1939:1749
C:7-H:5-O:2-X:1	Cl:Na:I:K:Br:Ag:H	2846:2203:8082:2948:2682:2691:1535	1729:1801:1967:1841:1865:1749:1953
C:6-H:8-O:4-X:2	C:O:H	4651:8408:1533	1943:1971:1962
H:9-N:3-Tl:1-X:3	Cl:Br	8637:9001	1988:1909
C:7-H:5-O:2-X:3	H:N:I:Br	1255:8049:9626:4656	1950:1858:1707:1864
C:6-H:8-O:4-X:3	C:O	4659:46	1970:1979
C:6-H:8-O:4-X:4	H:C	8574:2722	1819:1819
C:6-H:6-Cl:1-N:1-X:2	C:H	11352:1934	1818:1753
C:8-H:28-Cl:4-N:4-X:2	Pd:Pt	5673:4991	1799:1770
Ba:1-H:8-O:8-X:2	Al:P	8300:10470	1773:1927
C:2-H:4-O:2-S:1-X:2	Cl:H	8400:6696	1921:1874
Ba:1-H:8-O:10-X:2	S:As	1182:4335	1989:1886
C:15-H:11-N:1-O:2-X:1	O:C	8447:2974	1744:1833
As:1-H:1-X:2	H:O	128:1394	1832:1952
C:15-H:11-N:1-O:2-X:2	N:H	5087:2425	1846:1716
C:4-H:4-N:2-O:7-X:3	O:C	5503:3386	1858:1764
H:2-Hg:4-O:8-X:2	P:N	4327:4826	1875:1822
C:7-H:4-Cl:2-O:2-X:1	C:O	8539:3857	1877:1990
C:7-H:14-O:1-X:2	C:H:O	4884:5507:7583	1807:1871:1763
C:6-Cl:3-X:3	H:Cl	2852:9237	1970:1980
C:7-H:14-O:1-X:3	C:O	3086:5890	1766:1798
C:2-H:6-N:2-O:3-S:2-X:1	Mn:Sr:Ba:Fe:Ca	3414:3289:3398:6456:3409	1943:1863:1964:1744:1700
C:18-H:32-O:3-X:2	H:Br	4216:10576	1999:1927
C:14-H:13-N:3-X:2	C:H	10237:8564	1801:1805
H:1-O:1-Pb:1-X:2	B:Cl	4837:7913	1851:1782
C:18-H:32-O:3-X:4	Br:H	10578:2554	1981:1974
H:8-N:2-O:7-X:2	S:U:Mo:Cr	2317:3243:4534:3478	1731:1842:1948:1908
C:1-N:1-Pb:1-X:1	O:N	1447:8457	1888:1718
S:1-Sr:1-X:3	O:S	742:8296	1916:1970
C:20-H:20-N:2-X:6	O:H	6231:9338	1957:1786
S:1-Sr:1-X:4	O:S	429:8298	1788:1905
Hg:1-O:4-X:1	Cl:Cr:S:W	1764:6855:261:3192	1840:1905:1760:1917
Hg:1-O:4-X:2	N:C	8215:2430	1805:1898
C:20-H:20-N:2-X:8	H:C	7614:4045	1892:1702
Cl:1-Hg:1-N:1-X:1	C:Hg	1336:10281	1877:1962
C:6-H:3-I:1-N:1-O:3-X:1	H:Br:I	10654:10688:10615	1768:1733:1719
C:9-H:20-O:1-X:2	C:O	11215:7960	1801:1937
C:9-H:20-O:1-X:3	C:O	10137:9207	1838:1893
H:4-O:6-S:2-X:2	Pb:C	1222:2035	1867:1931
C:12-H:20-N:2-X:16	O:C	4700:4045	1995:1702
C:4-H:8-S:2-X:2	Cl:O:H	8006:8553:2039	1939:1927:1770
C:5-H:4-O:6-X:1	S:C	7391:8204	1868:1810
C:6-H:12-N:2-O:4-X:2	S:O	2677:4217	1886:1771
O:2-W:1-X:2	O:Cl:Br	2441:941:5227	1933:1950:1919
C:4-H:8-S:2-X:4	I:Br:O	8927:8540:8546	1714:1975:1890
H:1-K:1-O:3-X:1	C:Se:S	247:678:2978	1998:1947:1805
C:9-H:7-N:1-O:3-X:1	C:O	8050:4242	1753:1734
C:4-H:6-N:4-Na:2-O:3-X:1	Pd:Pt:Ni	9899:4834:2526	1714:1761:1827
C:9-H:7-N:1-O:3-X:2	Cl:H	8446:2589	1895:1979
C:9-H:7-N:1-O:3-X:4	H:O	5114:10701	1950:1965
H:8-O:8-Pb:1-S:2-X:2	O:N	1220:3287	1772:1743
C:6-H:8-N:1-O:3-X:1	As:H:N	7366:10724:4238	1909:1824:1865
C:16-H:33-X:1	I:Br:Cl	5511:5570:5510	1879:1862:1741
C:10-H:12-N:1-O:3-X:1	N:H	10151:8079	1977:1861
C:16-H:15-N:1-O:1-X:2	O:H	2010:4669	1850:1740
C:10-H:10-O:2-X:2	O:Cl:C:H	4746:10146:10593:3091	1730:1739:1996:1897
C:10-H:10-O:2-X:3	O:C	3110:3918	1792:1905
K:4-N:6-O:12-X:1	Ni:Cd	4537:8256	1795:1704
C:8-H:14-Cu:1-O:4-X:8	C:O	4446:3065	1876:1818
C:10-H:10-O:2-X:4	O:Cl:C:H	3859:11189:2293:5940	1998:1710:1937:1887
H:12-O:13-U:2-X:2	K:Na	5027:9046	1872:1957
C:2-H:1-O:1-X:1	Co:Cu:N	759:561:1705	1989:1748:1916
I:4-K:2-X:1	Hg:Cd	2741:7143	1846:1919
C:2-H:1-O:1-X:3	Br:Ni:H:Cl	1848:4387:2026:1940	1791:1781:1982:1781
C:8-H:10-O:1-S:1-X:1	O:C	9636:8838	1762:1820
C:12-H:14-O:8-X:4	N:H	4899:9189	1747:1903
C:10-H:7-X:1	H:I:Br:Cl	1965:11137:2268:3899	1733:1890:1851:1911
C:5-H:8-X:2	H:O:C	8380:4014:3152	1727:1823:1972
C:5-H:8-X:3	C:O	2708:9743	1750:1853
As:1-H:24-Na:2-O:16-X:1	H:Na	801:1112	1823:1791
C:5-H:8-X:4	H:O	8567:64	1961:1805
As:1-H:1-Na:1-O:4-X:1	Na:H	1102:782	1908:1874
C:5-H:8-X:5	C:O	1965:5261	1733:1737
O:2-U:1-X:2	Cl:Br	133:3485	1965:1990
C:4-H:2-K:2-N:4-O:1-X:1	Pd:Pt	2534:6143	1880:1895
C:14-H:8-O:3-X:2	H:O	1943:5079	1895:1807
C:7-H:5-Br:3-N:2-X:2	O:H	9686:10182	1831:1831
Cl:6-Ir:1-X:2	H:K:Ag:Na	472:435:3965:1414	1794:1951:1998:1729
C:9-H:20-N:1-X:1	H:I	5274:5746	1840:1822
Cl:6-Ir:1-X:3	K:Rb:Hg:Cs:Li:Na:Ag	484:9058:1154:9060:9059:8948:4314	1792:1902:1754:1796:1806:1997:1746
C:3-H:7-N:1-S:1-X:1	O:S	2262:10025	1951:1883
C:11-H:16-N:2-X:4	O:C	4660:2426	1806:1966
C:6-H:5-O:1-X:1	H:I:K:Cl:Br:Na	1952:9598:5310:7284:3755:7644	1776:1791:1982:1774:1711:1740
C:4-H:4-Co:1-O:4-X:2	H:O	3407:880	1729:1866
C:5-H:8-O:3-X:2	C:O:H	2558:5261:2454	1822:1737:1923
C:4-H:9-Cl:1-X:2	O:C	8530:9944	1766:1760
C:5-H:8-O:3-X:3	C:O	1942:2414	1903:1788
C:5-H:8-O:3-X:4	C:O	3159:11090	1988:1849
Cu:1-O:3-S:1-X:1	K:O	5246:40	1703:1734
C:10-H:10-Cl:2-O:2-X:2	O:Cl	5934:11189	1847:1710
S:5-Te:1-X:3	Cd:Sr	6683:1178	1939:1782
C:11-H:16-O:2-X:1	O:C	11243:3100	1869:1737
C:6-H:15-I:1-X:1	Pb:Sn:Te:S	5743:5555:5556:9305	1851:1818:1922:1973
C:6-H:8-Cl:2-X:2	H:C	10026:4032	1888:1887
H:2-Hg:1-O:5-X:1	S:Se	5628:5625	1883:1763
C:10-H:10-N:2-X:6	O:H	4895:8607	1839:1940
C:6-H:1-Br:4-O:2-X:1	H:N	5939:10134	1984:1795
Co:1-H:6-N:6-O:8-X:1	K:Ag	9871:9911	1939:1822
C:9-H:15-O:4-X:1	Cl:H:Br	10056:2457:10057	1713:1826:1854
H:4-O:6-P:2-X:1	Ca:O:Ba	4144:1743:4157	1707:1702:1942
C:15-H:12-O:3-X:2	H:N	11229:4043	1876:1876
C:1-H:6-Cl:1-N:1-X:2	N:C	11271:10557	1783:1975
O:7-Sb:2-X:4	Na:K:H	10892:3777:408	1718:1807:1856
C:3-H:8-S:1-X:2	N:S:O	11036:8383:8381	1890:1844:1703
C:4-H:4-O:5-X:1	Ba:Cu:O	7351:3812:1379	1809:1812:1970
C:8-H:5-N:2-O:2-X:1	H:Br	9750:9802	1911:1916
C:4-H:4-O:5-X:2	H:C	593:1852	1987:1954
C:5-H:6-N:2-O:2-X:1	C:O	4246:3463	1853:1842
H:18-N:2-O:12-P:2-X:1	Fe:Co	9050:9112	1761:1862
Ru:1-X:2	O:Cl:S	4093:4091:4094	1741:1834:1943
H:2-Na:1-O:5-P:1-X:2	H:Na	778:4270	1857:1716
C:1-Hg:2-N:2-X:1	S:C	2605:2222	1948:1729
Li:2-O:13-X:4	Te:W	2100:7891	1829:1799
C:6-H:7-N:1-O:2-X:1	C:S	3140:5352	1955:1923
As:2-Ca:3-H:4-O:11-X:2	H:As	5043:5040	1935:1721
C:6-H:7-N:1-O:2-X:2	N:C:H	5755:2816:10171	1773:1712:1727
C:10-H:11-N:1-O:2-X:1	C:O	2467:4668	1992:1815
C:10-H:11-N:1-O:2-X:2	O:H	7360:7015	1857:1756
C:6-H:7-N:1-O:2-X:4	C:H	2266:4637	1874:1740
C:10-H:11-N:1-O:2-X:4	H:C	4250:7289	1803:1892
C:6-H:5-N:1-X:1	N:C	9753:1941	1793:1992
C:6-H:3-Cl:1-N:2-O:3-X:2	H:O	7291:7286	1793:1917
C:4-H:4-Ca:1-O:4-X:2	H:O	2013:179	1931:1776
C:2-H:4-Cl:2-O:2-X:1	S:C	8400:2800	1921:1958
C:6-H:5-N:1-X:2	Cl:H:N:Br:O	4060:1257:8176:4036:2180	1871:1769:1750:1820:1794
O:4-Tl:3-X:1	As:P	9408:8666	1721:1992
Br:2-Cl:2-H:6-Mo:3-O:3-X:2	Cl:Br	7184:7194	1948:1889
Ag:1-O:3-X:1	Cl:I:N:Br	86:470:730:1118	1766:1885:1965:1735
C:6-H:2-X:4	Br:H:Cl	8952:1079:10282	1794:1906:1914
C:9-H:8-O:6-X:6	H:C	5:9258	1847:1787
C:2-H:5-X:1	H:Br:Cl:Li:Na:F:I	4852:4936:1071:7311:7333:5891:2579	1742:1744:1704:1964:1939:1844:1960
C:7-H:13-X:1	Cl:H	6697:2580	1740:1893
C:8-H:13-N:1-X:2	Br:H:Cl:N	7279:11105:10564:10685	1838:1798:1925:1850
Li:3-O:4-X:1	P:Sb:As	4731:4510:1111	1729:1978:1743
C:8-H:13-N:1-X:4	C:H	6428:3445	1939:1858
C:1-H:1-Cu:1-O:1-X:1	Cu:C	3781:561	1942:1748
K:1-S:1-X:1	K:H	132:374	1720:1778
C:4-H:8-O:2-X:1	C:O:S	4014:5277:9711	1823:1733:1834
Bi:1-O:3-X:1	Bi:H	1522:3972	1896:1806
C:4-H:8-O:2-X:2	C:Br:Cl:N:S:H	7094:8497:9176:3844:8553:6366	1840:1881:1929:1735:1927:1806
C:4-H:8-O:2-X:3	C:O	1255:9548	1950:1884
C:9-H:9-N:1-O:2-S:1-X:4	H:O	10663:7306	1904:1959
O:2-S:1-X:2	O:Cl	984:2592	1868:1823
F:4-Sn:1-X:2	F:H	7102:6342	1921:1737
H:12-N:6-O:4-X:1	Pd:Pt:Ni:Cu	8756:9047:9852:7791	1893:1938:1784:1851
C:12-H:10-Ba:1-O:6-X:2	C:S	6237:8173	1798:1963
O:4-Zr:1-X:4	Na:H	9439:7649	1780:1820
C:5-H:12-O:3-X:1	C:S	2297:4018	1729:1928
C:6-H:1-Cl:2-O:2-X:1	Cl:H	2813:4857	1870:1799
Ca:1-O:4-P:1-X:1	Li:K:Na:H	4843:4811:4729:737	1713:1862:1826:1902
C:9-H:12-O:1-X:1	C:O	3153:6720	1721:1734
H:2-Pd:1-X:4	I:Cl	2251:1320	1879:1840
C:7-H:7-N:3-O:4-X:1	C:O	8426:4892	1768:1869
C:4-H:4-Cd:1-X:6	O:H	6562:6471	1734:1757
O:9-Te:4-X:2	Na:K	2089:2115	1707:1914
C:17-H:21-I:1-N:1-X:1	N:H	7044:8477	1793:1927
F:5-H:4-N:1-X:1	Si:Ti	6902:1044	1791:1742
C:7-H:4-Cl:1-N:1-O:2-X:2	H:O	10196:10075	1722:1783
H:6-N:2-O:4-S:1-X:1	Pd:Hg:Zn:Cu	3327:3999:2749:2764	1739:1850:1912:1797
H:6-N:3-O:4-P:2-X:1	H:Pb:K	9809:9858:9820	1712:1845:1819
H:4-Mg:1-N:1-O:4-X:1	P:As	8951:7193	1844:1876
C:6-H:10-N:2-O:2-X:2	C:H	11209:8028	1902:1795
C:6-H:6-N:1-O:1-X:1	H:N	3126:9861	1921:1999
Os:1-S:1-X:3	S:O	1423:1424	1964:1709
C:2-H:6-N:2-O:1-X:4	H:C	7031:9861	1991:1999
C:4-H:8-N:2-X:1	O:S	6702:1954	1771:1947
B:2-H:9-N:3-X:6	Cl:Br	950:4151	1817:1939
C:4-H:8-N:2-X:2	C:O:H	8142:3844:5574	1945:1735:1783
C:10-H:25-N:1-X:2	N:C	8011:10034	1768:1838
C:8-H:8-O:5-X:2	O:N:C	8182:4861:7287	1972:1874:1760
H:2-I:3-O:9-X:1	K:Na	1710:3056	1863:1788
C:4-H:8-N:2-X:4	O:H	5268:9317	1813:1760
C:13-H:8-O:2-X:2	O:H	4229:3918	1892:1905
C:2-H:5-Cl:1-O:2-X:1	S:C	5569:2020	1873:1957
H:48-O:40-S:4-Tl:2-X:2	Fe:Cr	9044:10372	1951:1934
Cl:2-Hg:3-X:2	O:S:Se	710:1427:7458	1775:1720:1986
C:4-H:14-Cl:2-N:2-X:1	Pd:Pt	5662:4972	1799:1910
C:8-H:8-O:5-X:6	C:H	5079:5269	1807:1804
C:2-Hg:1-O:2-X:2	N:O	36:2430	1802:1898
As:1-Co:1-X:1	Co:S:As	2393:2319:4830	1818:1885:1983
C:6-H:6-O:1-S:2-X:6	H:O	3842:10114	1901:1746
C:18-H:20-N:1-O:3-X:1	H:Br:Cl	5346:5348:5339	1862:1717:1736
C:10-H:10-Cl:2-X:2	H:O	4677:10146	1802:1739
C:10-H:10-Cl:2-X:4	O:C	5934:11142	1847:1773
C:1-Cl:2-X:1	C:O:S	5681:361:3488	1974:1797:1908
C:8-H:7-Cl:2-O:1-X:1	H:N	4655:8425	1966:1702
C:1-Cl:2-X:2	Cl:H	1542:7261	1985:1826
Cl:5-X:1	As:Mo:Nb:Sb:Ta:I:P:W	2729:1120:4231:1074:4237:2993:346:6506	1874:1978:1789:1716:1967:1720:1843:1963
C:9-H:12-N:1-X:3	H:N	6698:5884	1908:1761
C:1-H:3-Hg:1-X:1	Cl:I	7030:7056	1788:1785
C:3-H:8-O:1-X:1	O:C	6840:3886	1872:1886
C:6-H:2-Br:3-O:2-X:1	N:H:Br	10148:5952:5939	1853:1798:1984
C:3-H:8-O:1-X:2	C:S:N:O	5901:8382:4629:2450	1959:1725:1861:1772
C:7-H:5-S:1-X:1	N:H	7062:3094	1832:1944
Fe:1-O:6-X:2	I:S:N:Cl	2642:8280:1961:3583	1770:1754:1915:1731
I:4-P:1-X:1	P:I	4940:4477	1728:1839
C:3-H:4-N:4-X:2	O:S:Cu	2052:4096:9132	1727:1730:1960
Hg:1-I:4-X:1	Fe:Cd	1464:1480	1768:1735
Fe:1-O:6-X:4	Fe:S	761:3504	1935:1999
Hg:1-I:4-X:2	K:I	2741:2662	1846:1931
C:16-H:10-N:2-O:3-S:1-X:2	O:H	875:3391	1870:1747
C:9-H:9-N:1-O:4-X:1	O:C	4041:6265	1704:1939
C:2-O:4-X:1	Co:Pb:Sn:Sr:Zn:Cd:Ba:Fe:Ca:Mg:Hg	735:536:5978:6763:3667:1520:328:1833:1634:1521:2430	1976:1897:1772:1897:1827:1740:1898:1754:1837:1937:1898
C:9-H:20-I:1-X:1	N:P	5746:8108	1822:1862
C:6-H:3-Cl:1-X:2	Cl:H:O	2852:2844:4871	1970:1852:1708
C:2-O:4-X:2	K:Hg:Li:Ag:H:Tl:Na	348:2432:727:6764:10:8459:1830	1933:1880:1963:1984:1909:1968:1854
C:12-H:4-O:4-X:6	H:Cl	3880:4908	1909:1869
C:7-H:7-Br:1-O:2-X:1	C:S	3923:10628	1952:1916
Cr:2-O:7-X:1	Zn:Cu:Pb	1467:3470:1598	1754:1864:1872
Cr:2-O:7-X:2	K:Na:Rb:Li:Tl:Ag	736:2984:8657:9885:8685:2493	1950:1967:1955:1958:1886:1941
C:3-H:4-O:4-X:1	C:O	2184:5355	1977:1849
C:3-H:4-O:4-X:2	H:N:C	6957:2679:7728	1996:1896:1931
C:6-H:11-O:3-X:1	H:N:Cl	2297:5059:9535	1729:1769:1701
H:14-N:4-O:5-S:1-X:1	Cu:Pd:Pt	392:3337:3830	1978:1845:1864
Na:3-Sb:1-X:3	S:O	6867:9788	1766:1727
Na:3-Sb:1-X:4	O:Se:S	2862:6919:1574	1702:1766:1870
C:2-N:2-Se:2-X:1	Pb:Zn	5097:5166	1752:1977
C:11-H:20-O:4-X:1	C:O	2561:5920	1880:1779
C:2-H:5-Cl:1-N:2-X:4	H:C	8103:10166	1841:1803
C:5-H:7-I:1-O:1-X:2	I:Br	9578:9577	1704:1776
C:20-H:23-O:4-X:3	N:H	8087:5999	1978:1941
C:11-H:20-O:4-X:4	C:O	9656:6189	1902:1795
C:2-Hg:1-N:2-X:2	O:S	36:594	1802:1900
C:3-H:7-N:1-O:1-X:1	O:S	1746:2262	1895:1951
O:2-Sb:1-X:1	K:Na:O	1313:2884:5379	1828:1927:1920
C:12-H:22-O:7-X:4	H:O	8615:306	1874:1912
Hg:1-S:3-X:1	C:Te	948:1147	1775:1930
Mo:1-O:1-X:1	O:H	1085:7214	1727:1967
Mo:1-O:1-X:3	O:Cl	6448:10209	1942:1784
Al:1-H:18-O:18-X:3	Cl:N:Br	88:5582:3307	1905:1766:1963
C:13-H:10-O:5-X:1	S:O	11264:5088	1993:1962
H:4-O:6-W:1-X:1	Co:Cu	2389:2374	1783:1852
H:4-O:6-W:1-X:2	K:Na	6510:2306	1754:1875
C:2-Br:3-X:1	Br:H	1625:8392	1946:1770
Al:2-O:4-X:1	Mg:Be:Co:Zn:Fe	5781:6901:4730:5779:4478	1880:1899:1999:1800:1736
Al:2-O:4-X:2	H:Na	5192:8211	1757:1987
C:2-Br:3-X:3	H:Br	6690:8360	1891:1809
C:12-H:8-N:1-X:5	H:N	6428:10588	1939:1868
C:4-H:5-Br:1-X:2	C:H:O	2713:9540:8371	1925:1751:1848
C:4-H:5-Br:1-X:4	O:H	7987:6202	1723:1990
Hg:1-O:6-S:2-X:1	Cu:Hg	5871:3539	1942:1835
C:8-H:5-O:2-X:1	H:N	9740:2049	1859:1942
C:7-H:8-O:4-X:1	C:S	4651:3655	1943:1983
Hg:1-O:6-S:2-X:2	H:K	6055:5408	1701:1871
C:7-H:8-O:4-X:2	C:H	4659:3155	1970:1916
C:7-H:8-O:4-X:6	C:H	4229:5890	1892:1798
O:4-Zn:1-X:1	S:Se:W:Mo:Cr	355:1275:7777:8591:3174	1850:1730:1914:1739:1812
Cl:4-H:8-Hg:1-O:4-X:1	Co:Fe:Mn	1590:1561:1573	1931:1707:1961
C:2-H:5-O:2-S:1-X:1	Cl:O:H	5569:11127:6696	1873:1707:1874
C:1-Cu:1-N:1-X:1	N:S	8455:493	1797:1837
O:4-Zn:1-X:2	C:N:Fe:Al	3667:7101:5776:5779	1827:1724:1927:1800
C:7-H:4-N:3-S:1-X:1	Br:Cl	10739:10738	1773:1989
C:6-Fe:1-K:3-N:6-X:1	Na:K	6112:75	1920:1833
P:2-S:2-X:1	S:Cu	8205:3626	1904:1869
C:13-H:14-N:2-X:1	O:C	4434:9328	1839:1709
P:2-S:2-X:2	P:Cu	3561:3633	1709:1931
C:1-H:10-N:2-O:2-X:2	C:O	10717:131	1978:1777
H:2-Mg:1-X:2	O:S	1081:1125	1752:1865
C:2-H:3-Li:1-X:2	H:O	7311:4896	1964:1987
C:8-H:5-Br:2-O:3-X:1	H:N	3656:2943	1747:1819
C:2-H:1-Ag:1-O:2-X:2	Br:H	10177:3662	1718:1933
Hg:4-O:6-X:1	S:C	3948:1595	1746:1801
C:8-H:8-Cl:1-O:1-X:1	N:H:Cl	7701:3377:4655	1807:1775:1966
C:1-H:2-O:6-S:2-X:2	K:H	11308:2265	1832:1931
H:12-Ni:1-O:6-Pt:1-X:6	Cl:Br	10887:10958	1817:1812
C:6-H:2-Cl:1-O:2-X:1	Cl:H	4857:4871	1799:1708
C:1-Hg:2-S:1-X:2	N:S	2605:1035	1948:1971
C:6-H:2-Cl:1-O:2-X:3	H:Cl	3896:4860	1915:1780
C:2-O:4-Tl:1-X:1	H:Tl	8307:8459	1928:1968
O:7-Pb:2-X:2	N:P	3201:4493	1839:1801
C:8-H:7-O:6-S:1-X:1	N:H	8093:6742	1978:1796
C:2-H:4-N:3-X:1	Au:Cu:N	3283:5674:8538	1873:1865:1864
C:6-H:3-Br:2-O:2-X:1	N:Br	9239:5952	1780:1798
Ba:1-H:18-I:5-O:9-X:1	Sb:Bi	7535:7537	1918:1959
H:2-K:1-O:3-X:1	As:P	8272:1396	1729:1869
C:9-H:8-N:1-O:3-X:1	K:Ag:H:N:I:Cl	4074:4072:2589:5704:11153:8437	1923:1787:1979:1752:1740:1725
C:5-H:8-N:2-O:3-X:2	C:H	4922:4623	1837:1869
C:18-H:16-O:3-X:4	O:H	6229:7625	1883:1748
C:6-H:1-Br:3-N:2-O:2-X:2	H:O	9265:10135	1887:1831
Cl:1-O:4-X:1	Hg:Rb:Tl:Na:Ag:K:H:Li	1764:8255:9755:3119:1828:1735:511:1826	1840:1771:1925:1864:1749:1976:1807:1982
C:8-H:14-O:14-X:1	Sr:Ca	8741:1947	1734:1858
C:2-H:4-O:3-X:1	Pb:C	4054:2290	1781:1701
